part,polygons,vertices,x,y,z,com_x,com_y,com_z,ang_w,ang_x,ang_y,ang_z,bbox_volume,bbox_area,square1,square2,volume,surface_area,sphericity,mean_poly_area,dev_poly_area,skew_poly_area,kurt_poly_area,err_poly_area,bbox_fraction,volume_fraction,surface_fraction,poly_fraction,relative_poly_density,poly_vert_ratio,bbox_vol_ratio,efficiency,class
body1,11412,5658,0.289999992,-0.632999957,0.349999994,0.306800276,-0.632741332,-0.206722587,90,-1,0,0,0.818720499,6.442970563,1.231,3.303,0.088853121,7.011162842,0.050899532,0.000614368,0.005319789,21.69696668,603.2930856,8.658968321,0.420897084,0.209339926,0.306624057,0.043997903,0.210174444,2.016967126,9.214313374,0.099731675,casing
body1.001,7066,3535,-0.215999976,0.301899999,-6.11E-15,-0.215999752,-0.475138694,0.000118881,120,0.5774,0.5774,0.5774,0.006403021,0.403290024,23.415,1.004,0.004561564,0.310566125,0.280290791,4.40E-05,0.000235981,8.216688881,71.74051115,5.36904683,0.003291737,0.010747146,0.013582204,0.027242305,2.53484084,1.998868458,1.403689829,0.925107587,shaft
body1.002,1368,684,-0.215999976,-0.027099997,-6.25E-15,-0.215998188,-0.027099997,1.86E-10,90,1,0,0,0.000145392,0.02262564,1.003,4.986,2.37E-05,0.012561629,0.178967687,9.18E-06,1.27E-05,2.743905986,7.016474011,1.382069097,7.47E-05,5.58E-05,0.000549366,0.005274197,94.4842799,2,6.13654638,0.293515402,bearing ring
body1.003,1368,684,-0.215999976,-1.191100001,1.07E-16,-0.215998188,-1.191100001,1.86E-10,90,1,0,0,0.000145392,0.02262564,1.003,4.986,2.37E-05,0.012561629,0.178967687,9.18E-06,1.27E-05,2.743905986,7.016474011,1.382069097,7.47E-05,5.58E-05,0.000549366,0.005274197,94.4842799,2,6.13654638,0.293515402,bearing ring
body1.004,2872,1436,-0.215999976,-0.086099997,-7.03E-15,-0.215999976,-0.141099751,0.000362784,90,1,0,0,0.00278809,0.120743665,1.01,1.44,0.001428023,0.148548185,0.265253097,5.17E-05,7.69E-05,2.44810447,11.0161804,1.486688864,0.001433333,0.003364455,0.006496561,0.011072728,3.29109155,2,1.952412407,0.416318244,gear
body1.005,9388,4694,-0.216000021,-0.436099946,0.001851824,-0.216000214,-0.29036206,0.001852151,90,-1,0,0,0.022178874,0.476657594,1,1.267,0.007865481,0.498418203,0.237717216,5.31E-05,0.000111284,3.841719612,18.37263778,2.096092448,0.011401966,0.018531248,0.02179767,0.036194559,1.953163595,2,2.819773364,0.339155151,gear
body1.006,18612,9230,0.289999992,-0.632999957,0.349999994,0.284603,-0.634626329,0.225623578,90,-1,0,0,0.783999985,6.579999955,1.143,4,0.181311756,8.479347307,0.078092354,0.000455585,0.007589998,36.24324225,1522.965377,16.65989662,0.40304757,0.427174526,0.370833188,0.071756832,0.167980129,2.016468039,4.324043849,0.179462361,casing
body1.007,3524,1764,0,0,0,-4.21E-08,-0.711338222,0.000191058,120,0.5774,0.5774,0.5774,0.013437039,0.534939597,11.657,1.004,0.006924235,0.327517541,0.392867521,9.29E-05,0.000410732,6.544295055,42.51043949,4.419360372,0.006907865,0.016313651,0.014323552,0.013586454,0.832827283,1.997732426,1.940581138,0.841663272,shaft
body1.008,1544,772,0,-0.033999998,3.75E-17,-3.80E-06,-0.033999998,-4.53E-10,180,0,-0.7071,0.7071,0.000118899,0.016953746,1.003,3.122,2.91E-05,0.012288767,0.227526975,7.96E-06,1.27E-05,2.840318501,7.82930761,1.59948025,6.11E-05,6.87E-05,0.000537433,0.005952748,86.68999472,2,4.079505402,0.338181508,bearing ring
body1.009,1526,763,-3.22E-29,-1.192000031,3.75E-17,3.02E-06,-1.192000031,6.27E-10,90,1,0,0,0.000161547,0.023344633,1.003,4.487,3.23E-05,0.014169725,0.203383484,9.29E-06,1.38E-05,2.802105684,7.567200082,1.48520551,8.30E-05,7.60E-05,0.000619694,0.005883351,77.41297034,2,5.008033415,0.328971596,bearing ring
body1.010,9314,4657,0,-0.213999972,-1.55E-17,1.83E-08,-0.178182095,6.88E-10,90,1,0,0,0.022178868,0.476657507,1,1.267,0.008402014,0.488352653,0.261823888,5.24E-05,0.000118214,4.28763611,22.6508422,2.254619981,0.011401963,0.019795332,0.021357466,0.035909259,1.814026619,2,2.639708448,0.369757441,gear
body1.011,4744,2372,-2.08E-32,-0.326999992,8.29E-17,-1.32E-09,-0.38199982,0.000136697,90,1,0,0,0.010165314,0.318580984,1,2.764,0.006871148,0.340785451,0.367310989,7.18E-05,0.000155572,3.949530502,18.10272157,2.165678622,0.0052259,0.016188577,0.014903807,0.01829005,1.129812062,2,1.479420094,0.631898451,gear
body1.012,3020,1510,-1.35E-31,-1.057000041,4.64E-16,-7.74E-10,-1.112000108,0.000477209,90,1,0,0,0.003406982,0.139380831,1,1.6,0.001292237,0.170945014,0.194439156,5.66E-05,0.000103482,3.120034001,10.75745361,1.828160302,0.0017515,0.003044539,0.007476057,0.011643329,3.824331887,2,2.636499073,0.309256608,gear
body1.013,6520,3262,0.324000001,-1.230000019,0,0.324000031,-0.508124828,6.90E-05,120,0.5774,0.5774,0.5774,0.056936379,1.148989268,5.67,1.002,0.02853141,0.771471356,0.447785174,0.000118324,0.000555173,9.026924619,82.83030181,4.691976545,0.029270497,0.067220635,0.033739293,0.025137252,0.373951427,1.998773758,1.995568388,0.746327683,shaft
body1.014,1392,696,0.324000001,-1.197000027,0,0.324004024,-1.197000027,6.48E-10,90,-1,0,0,0.000179497,0.027134011,1.003,5.54,2.45E-05,0.013796514,0.16078318,9.91E-06,1.40E-05,2.831487092,7.492521355,1.408123805,9.23E-05,5.77E-05,0.000603373,0.005366726,92.97402006,2,7.326355893,0.268445809,bearing ring
body1.015,1758,879,0.324000001,-0.053179681,0,0.323991776,-0.053173613,-2.11E-10,180,0,-0.7071,0.7071,0.000752861,0.056272551,1.003,2.777,0.000194347,0.039235185,0.265943911,2.23E-05,4.71E-05,2.244262742,3.976264333,2.109610639,0.000387039,0.000457885,0.0017159,0.006777805,14.80240517,2,3.873800805,0.37024024,bearing ring
body1.016,11914,5957,0.324000001,-1.04400003,0.002450203,0.323999941,-1.088808656,0.002450213,180,0,0.7071,0.7071,0.060934989,0.991517115,1,2.099,0.021787442,0.940029734,0.25422605,7.89E-05,0.000305886,27.57773615,1277.464263,3.876823523,0.031326147,0.051331698,0.041110974,0.045933317,0.894833382,2,2.796794045,0.377136128,gear
body1.017,5860,2930,0.324000001,-0.923999906,0,0.324000031,-0.868999839,0.000141998,180,0,0.7071,0.7071,0.022859531,0.616208975,1,4.143,0.01557878,0.622039866,0.337700972,0.00010615,0.00038658,20.27755217,590.9214529,3.641824872,0.011751886,0.036703953,0.027204102,0.022592684,0.615538176,2,1.467350491,0.675112173,gear
body1.018,2572,1288,0.643999994,-1.248999953,-7.11E-17,0.644000053,-0.522119343,0.000228362,120,0.5774,0.5774,0.5774,0.029742989,0.890652703,10.886,1.004,0.017300339,0.60862013,0.387490752,0.000236633,0.000650457,4.59861729,22.12424092,2.748800226,0.015290612,0.040759984,0.026617207,0.009916106,0.243280428,1.99689441,1.719214164,0.851200946,shaft
body1.019,1758,879,0.643999994,-1.20449996,-7.11E-17,0.644007981,-1.204505801,-4.37E-10,90,-1,0,0,0.000631253,0.050200547,1.003,2.814,0.000161486,0.034811623,0.264408173,1.98E-05,4.18E-05,2.246468878,3.993816547,2.109275425,0.000324522,0.000380465,0.001522441,0.006777805,17.81453972,2,3.909024951,0.368906016,bearing ring
body1.020,1758,879,0.643999994,-0.069499999,-7.11E-17,0.644007981,-0.069505848,-4.37E-10,90,-1,0,0,0.000631253,0.050200547,1.003,2.814,0.000161486,0.034811623,0.264408173,1.98E-05,4.18E-05,2.246468878,3.993816547,2.109275425,0.000324522,0.000380465,0.001522441,0.006777805,17.81453972,2,3.909024951,0.368906016,bearing ring
